iter	Logloss
0	0.6448827392
1	0.5974785229
2	0.5440042489
3	0.4995765749
4	0.4802471388
5	0.4657122184
6	0.4269360425
7	0.4007386239
8	0.3733667967
9	0.3392734553
10	0.3145384809
11	0.3006195226
12	0.2748279149
13	0.2570584771
14	0.2497615828
15	0.2392662007
16	0.2312711525
17	0.2243334057
18	0.215711204
19	0.2039259294
20	0.1964676867
21	0.1826125111
22	0.1698495188
23	0.1621982057
24	0.1564028578
25	0.1526563258
26	0.143936481
27	0.1366462725
28	0.1296212316
29	0.1262272517
30	0.1216762506
31	0.1167406695
32	0.1108203728
33	0.1075710343
34	0.1025960013
35	0.09727332858
36	0.09471084132
37	0.09185377172
38	0.08897632839
39	0.08733234016
40	0.08347890654
41	0.07970487928
42	0.07838000857
43	0.07474594805
44	0.07337272192
45	0.07162614794
46	0.0701698111
47	0.06862028905
48	0.06641583024
49	0.06485610233
50	0.06258479938
51	0.06139321025
52	0.06047642431
53	0.05921682233
54	0.05839676736
55	0.05652172897
56	0.0538089291
57	0.05234332169
58	0.04990113565
59	0.04814670776
60	0.04657317794
61	0.04420724908
62	0.043026461
63	0.04159446039
64	0.04033858839
65	0.03886268325
66	0.03738373691
67	0.03620931886
68	0.0350130685
69	0.03410965199
70	0.03301767378
71	0.03229032833
72	0.03186603688
73	0.03090228595
74	0.03025728399
75	0.02932481778
76	0.02845033307
77	0.02741161002
78	0.02657277373
79	0.02572825692
80	0.02505394116
81	0.02458769331
82	0.02415386762
83	0.02322092633
84	0.02230759521
85	0.02172034948
86	0.02141533622
87	0.02094089879
88	0.02055774666
89	0.01977886425
90	0.01918408414
91	0.01854677954
92	0.01783700473
93	0.01736496453
94	0.01706856627
95	0.01653785723
96	0.01597408947
97	0.01561771166
98	0.0152935373
99	0.01488175527
100	0.01451808369
101	0.01416411535
102	0.01397433599
103	0.01345028017
104	0.01330477448
105	0.01309104324
106	0.01272210652
107	0.01253936095
108	0.01229782431
109	0.01213258912
110	0.01180713612
111	0.01146937873
112	0.01120844958
113	0.01107348283
114	0.01081878601
115	0.01062443117
116	0.01042475065
117	0.01026740107
118	0.01008335884
119	0.009891892526
120	0.009697706457
121	0.00955911909
122	0.009372577126
123	0.009178560859
124	0.00905114612
125	0.00895990314
126	0.008807917804
127	0.008698963696
128	0.008505766447
129	0.008331025314
130	0.00828253894
131	0.008037295309
132	0.007942199702
133	0.007864530274
134	0.007779797748
135	0.007742025691
136	0.007644578188
137	0.007573257362
138	0.00739872934
139	0.007324479237
140	0.007256602344
141	0.007159891959
142	0.007039360961
143	0.006862354911
144	0.006816354877
145	0.00668903644
146	0.006558072328
147	0.006472964326
148	0.006337841933
149	0.006258068679
150	0.006199764343
151	0.006102605144
152	0.006051005884
153	0.005965460285
154	0.005918970457
155	0.005869692509
156	0.005806803047
157	0.0057710911
158	0.005685570541
159	0.005584763537
160	0.00555593155
161	0.005448618965
162	0.0054138157
163	0.005354339999
164	0.005312658612
165	0.005235316
166	0.005212933073
167	0.005160800268
168	0.005107610297
169	0.005081424563
170	0.005029594095
171	0.004971042597
172	0.00493653145
173	0.004864513328
174	0.004822578423
175	0.00478056075
176	0.004748234608
177	0.004715476654
178	0.004652219512
179	0.00461244981
180	0.004570617853
181	0.004552671569
182	0.004500118007
183	0.004473582553
184	0.00444596148
185	0.004414058238
186	0.004363587247
187	0.004310600533
188	0.004295747427
189	0.004247661002
190	0.004218867012
191	0.00418426951
192	0.004170587205
193	0.004150328827
194	0.004143430382
195	0.004092620809
196	0.004074506869
197	0.004061504687
198	0.004049350572
199	0.004020396507
200	0.004012459648
